                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.3806,                 3.4571,                   4.12,                0.00356,                0.44444,                0.02183,                0.00687,                 3.2235,                 3.8928,                 4.1463,             0.00044438,             0.00044438,             0.00044438
                     35,                 3.1335,                 3.3582,                 4.0549,                0.00333,                0.41667,                 0.0152,                0.00521,                 3.2334,                  3.888,                 4.1435,             0.00045111,             0.00045111,             0.00045111
                     36,                 3.2956,                 3.4226,                 4.1111,                0.00333,                0.41667,                 0.0152,                0.00521,                 3.2334,                  3.888,                 4.1435,             0.00045745,             0.00045745,             0.00045745
                     37,                 3.4843,                 3.2672,                 4.0573,                0.00333,                0.41667,                0.01052,                 0.0038,                 3.2507,                 3.8862,                 4.1371,             0.00046339,             0.00046339,             0.00046339
                     38,                 3.3277,                 3.2155,                 4.0702,                0.00333,                0.41667,                0.01052,                 0.0038,                 3.2507,                 3.8862,                 4.1371,             0.00046894,             0.00046894,             0.00046894
                     39,                 3.3742,                 3.2451,                 4.0528,                0.00333,                0.41667,                0.01496,                 0.0048,                  3.266,                 3.8712,                  4.127,             0.00047409,             0.00047409,             0.00047409
                     40,                 3.2443,                 3.4507,                 4.0507,                0.00333,                0.41667,                0.01496,                 0.0048,                  3.266,                 3.8712,                  4.127,             0.00047884,             0.00047884,             0.00047884
                     41,                 3.3263,                 3.2745,                 4.0669,                0.00333,                0.41667,                 0.0179,                0.00538,                 3.2726,                 3.8669,                 4.1162,              0.0004832,              0.0004832,              0.0004832
                     42,                 3.2006,                 3.2446,                 4.0639,                0.00333,                0.41667,                 0.0179,                0.00538,                 3.2726,                 3.8669,                 4.1162,             0.00048716,             0.00048716,             0.00048716
                     43,                 3.1273,                 3.2409,                 4.0315,                0.00356,                0.44444,                0.01435,                0.00579,                 3.2745,                 3.8702,                  4.107,             0.00049073,             0.00049073,             0.00049073
                     44,                 3.4251,                 3.3195,                 4.0239,                0.00356,                0.44444,                0.01435,                0.00579,                 3.2745,                 3.8702,                  4.107,              0.0004939,              0.0004939,              0.0004939
                     45,                  3.152,                  3.237,                 4.0059,                0.00333,                0.41667,                0.01299,                0.00448,                 3.2736,                 3.8704,                 4.0985,             0.00049667,             0.00049667,             0.00049667
                     46,                 3.2303,                 3.2902,                 4.0533,                0.00333,                0.41667,                0.01299,                0.00448,                 3.2736,                 3.8704,                 4.0985,             0.00049905,             0.00049905,             0.00049905
                     47,                 3.0975,                 3.3056,                 4.0131,                0.00311,                0.38889,                0.02608,                0.00677,                 3.2723,                 3.8659,                 4.0915,             0.00050103,             0.00050103,             0.00050103
                     48,                 3.2172,                 3.3223,                 3.9991,                0.00311,                0.38889,                0.02608,                0.00677,                 3.2723,                 3.8659,                 4.0915,             0.00050262,             0.00050262,             0.00050262
                     49,                 3.4019,                 3.2479,                 4.0318,                0.00311,                0.38889,                0.05118,                0.01493,                 3.2738,                 3.8667,                 4.0858,             0.00050381,             0.00050381,             0.00050381
                     50,                 3.1676,                 3.1195,                 3.9751,                0.00311,                0.38889,                0.05118,                0.01493,                 3.2738,                 3.8667,                 4.0858,              0.0005046,              0.0005046,              0.0005046
                     51,                  3.335,                 3.1908,                 3.9993,                0.00333,                0.41667,                0.01244,                0.00439,                 3.2779,                 3.8684,                 4.0879,               0.000505,               0.000505,               0.000505
