                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3554,                 3.6867,                 4.1916,                0.00356,                0.44444,                0.01067,                0.00321,                 3.1977,                 3.7655,                  4.159,                      0,                      0,                      0
                      2,                 3.5446,                 3.5932,                 4.3135,                0.00356,                0.44444,                0.01071,                0.00348,                 3.1978,                 3.7657,                 4.1591,              1.901e-05,              1.901e-05,              1.901e-05
                      3,                 3.3233,                  3.466,                 4.1714,                0.00333,                0.41667,                0.01126,                 0.0034,                 3.1978,                 3.7659,                 4.1592,              3.604e-05,              3.604e-05,              3.604e-05
                      4,                 3.3042,                 3.4971,                 4.2198,                0.00333,                0.41667,                0.00954,                0.00334,                 3.1979,                 3.7661,                 4.1593,              5.109e-05,              5.109e-05,              5.109e-05
                      5,                 3.2399,                 3.4884,                 4.2132,                0.00333,                0.41667,                0.00931,                 0.0035,                  3.198,                 3.7664,                 4.1593,              6.416e-05,              6.416e-05,              6.416e-05
                      6,                 3.2375,                 3.4105,                 4.2588,                0.00333,                0.41667,                0.01724,                0.00599,                 3.1981,                 3.7667,                 4.1594,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                 3.2692,                 3.3901,                 4.1823,                0.00356,                0.44444,                0.06567,                0.03492,                 3.1982,                  3.767,                 4.1594,              8.436e-05,              8.436e-05,              8.436e-05
                      8,                 3.4259,                 3.4937,                 4.1681,                0.00333,                0.41667,                0.08112,                0.03213,                 3.1982,                 3.7673,                 4.1593,              9.149e-05,              9.149e-05,              9.149e-05
                      9,                 3.4977,                 3.5072,                 4.1896,                0.00333,                0.41667,                 0.0903,                0.04013,                 3.1982,                 3.7678,                 4.1592,              9.664e-05,              9.664e-05,              9.664e-05
                     10,                 3.4881,                 3.4585,                 4.1778,                0.00333,                0.41667,                0.05805,                0.02119,                 3.1982,                 3.7682,                 4.1591,              9.981e-05,              9.981e-05,              9.981e-05
                     11,                 3.3527,                 3.8889,                 4.3526,                0.00356,                0.44444,                0.05814,                0.01501,                 3.1982,                 3.7687,                  4.159,               0.000101,               0.000101,               0.000101
                     12,                 3.5589,                 3.8566,                 4.1961,                0.00356,                0.44444,                0.04937,                0.01106,                 3.1981,                 3.7691,                 4.1588,             0.00010021,             0.00010021,             0.00010021
                     13,                  3.089,                  3.913,                 4.2385,                0.00356,                0.44444,                0.05971,                0.01184,                  3.198,                 3.7694,                 4.1586,              9.744e-05,              9.744e-05,              9.744e-05
                     14,                 3.2835,                 3.7076,                 4.2087,                0.00333,                0.41667,                0.06463,                0.01204,                 3.1978,                 3.7698,                 4.1585,              9.269e-05,              9.269e-05,              9.269e-05
                     15,                 3.2761,                 3.7881,                 4.1809,                0.00356,                0.44444,                0.05381,                 0.0133,                 3.1977,                   3.77,                 4.1583,              8.596e-05,              8.596e-05,              8.596e-05
                     16,                 3.3417,                 3.7213,                 4.1546,                0.00333,                0.41667,                0.09484,                0.02475,                 3.1975,                 3.7702,                 4.1581,              7.725e-05,              7.725e-05,              7.725e-05
                     17,                 3.1638,                 3.6268,                 4.1619,                0.00356,                0.44444,                 0.1191,                0.02239,                 3.1973,                 3.7704,                 4.1578,              6.656e-05,              6.656e-05,              6.656e-05
                     18,                 3.1812,                 3.6939,                 4.2076,                0.00356,                0.44444,                 0.1191,                0.02239,                 3.1973,                 3.7704,                 4.1578,              5.389e-05,              5.389e-05,              5.389e-05
                     19,                 3.2253,                 3.7129,                 4.1735,                0.00356,                0.44444,                 0.0548,                0.01224,                 3.1972,                 3.7708,                 4.1576,              3.924e-05,              3.924e-05,              3.924e-05
                     20,                 3.1036,                  3.585,                 4.2017,                0.00356,                0.44444,                 0.0548,                0.01224,                 3.1972,                 3.7708,                 4.1576,              2.261e-05,              2.261e-05,              2.261e-05
